path,balance_y1,rate_y1,rate_shift,core_ratio,eve_path,nii_path,dEVE_path,dNII_path,worst_dEVE,worst_dNII
293,14799.596688872325,0.03749315392780795,-6.846072192048802e-06,0.8093384738769195,14726.1942776822,559.3751745582713,-3827.1120781277314,-146.0913138738456,-3864.708346090172,-442.08324765129214
294,20327.78405156518,0.028407929865448794,-0.009092070134551204,0.8274092090851041,20249.176176117813,583.7774130743803,1695.869820307882,-121.68907535773656,1642.4879732779082,-528.2447563890402
295,19470.118350687037,0.03927447551409402,0.0017744755140940219,0.8596715913572053,19362.940008502228,770.9552784019728,809.6336526922969,65.48878996985593,757.2779402349879,-323.9135770438848
296,23237.087848551142,0.037364713842588486,-0.00013528615741151273,0.794449752237046,23124.291623836965,875.169763925142,4570.985268027034,169.7032754930251,4513.008913708214,-295.0384814779978
297,21316.810334851023,0.03992576811645085,0.0024257681164508507,0.8476560220488585,21199.211337481378,857.865889213182,2645.904981671447,152.39940078106508,2589.415548228648,-273.9368059159552
298,23135.412546538384,0.04301959937085945,0.005519599370859454,0.8413439980710207,22999.197082022012,1002.5753507356922,4445.890726212081,297.1088623035753,4385.266346106375,-165.59938862719218
299,18042.30240424996,0.03846037330861003,0.0009603733086100338,0.8337121134906469,17947.86724117676,699.5543572121466,-605.4391146331727,-5.91213121997032,-652.5672355599927,-366.7581793049695
300,18897.674833339857,0.03725346958463687,-0.0002465304153631276,0.8598586330560967,18798.833632951337,710.0973331658817,245.52727714140565,4.630844733764775,194.57001143178059,-373.32265193303226
301,21910.550896919238,0.04468010652477391,0.00718010652477391,0.8721000216508719,21771.928686469433,986.131179207314,3218.622330659502,280.6646907751971,3159.274458771157,-157.5463271631877
302,27851.53606322117,0.035071318409979756,-0.002428681590020243,0.8578360207291432,27714.490260818235,985.7494324424808,9161.183905008304,280.28294401036396,9086.048508349417,-276.7477772540597
303,21999.959225359973,0.02435785179887873,-0.013142148201121268,0.950715658718615,21916.074172069097,543.7149818662995,3362.7678162591656,-161.7515065658174,3296.2138613124225,-601.7488467803583
304,21016.539433392736,0.04571013920531616,0.008210139205316158,0.8840440585663005,20878.779973289726,967.6361362174292,2325.4736174797945,262.16964778531235,2267.8571787444707,-158.16114088254244
305,26231.07472535274,0.05060708607751091,0.013107086077510911,0.8887892563432466,26040.36073315132,1336.2207962044113,7487.054377341388,630.7543077722944,7415.2055723106205,106.13281326523986
306,20295.887632614427,0.04242709802080107,0.004927098020801074,0.8366864766114692,20178.626602100125,867.4634743529128,1625.3202462901936,161.99698592079596,1572.38571361902,-243.92076673149262
307,15033.106205839107,0.03097094140899628,-0.006529058591003719,0.7961278680643411,14972.200942045927,470.07746632344237,-3581.105413764004,-235.3890221086745,-3618.9966409682856,-536.0511462254567
