Date,Balance,days_since_start,fitted_decay,kalman_core,quantile_10,volatility_core_95,hp_trend
2022-12-10,18579.062011092446,2170,19161.065838854513,18839.616348706255,17147.791669501086,18667.115887705277,18813.667486040846
2022-12-11,18474.942683857284,2171,19163.77063423886,18804.92679479207,17151.130952850395,18647.91416579981,18811.449968172245
2022-12-12,18427.580535744117,2172,19166.47430168633,18769.031761343518,17154.470236199704,18627.093246821754,18809.430166665294
2022-12-13,18399.43530373847,2173,19169.17684166728,18733.873927152523,17157.809519549017,18606.076279156154,18807.61081106499
2022-12-14,18522.420485205286,2174,19171.878254651885,18713.759434986474,17161.148802898326,18592.149129571022,18805.991684545734
2022-12-15,18526.07643064824,2175,19174.578541110113,18695.906103843234,17164.48808624764,18580.328949037805,18804.56942077954
2022-12-16,18552.23784075532,2176,19177.27770151175,18682.23967152707,17167.827369596947,18572.1637302976,18803.338465389046
2022-12-17,18444.702824485285,2177,19179.97573632637,18659.643997486626,17171.16665294626,18561.84566144398,18802.291115131236
2022-12-18,18350.862944721932,2178,19182.67264602336,18630.271223935797,17174.50593629557,18541.134228332754,18801.417729258275
2022-12-19,18701.048287769347,2179,19185.368431071907,18637.003886610408,17177.845219644878,18536.05243990622,18800.705907853415
2022-12-20,18744.16313671325,2180,19188.06309194101,18647.197401915073,17181.18450299419,18532.388544680853,18800.139774496933
2022-12-21,18739.019866633633,2181,19190.756629099465,18655.93200670675,17184.523786343503,18527.586935108982,18799.702683806005
2022-12-22,18888.194730407253,2182,19193.449043015873,18678.02598017588,17187.863069692812,18529.556423891354,18799.377558479297
2022-12-23,19128.092326726422,2183,19196.140334158645,18720.83850627395,17191.20235304212,18531.042320801713,18799.14685298386
2022-12-24,19003.046164152383,2184,19198.83050299599,18747.68348770968,17194.541636391434,18530.851028656263,18798.99370710444
2022-12-25,18898.021635972873,2185,19201.519549995923,18761.984392332706,17197.880919740743,18530.25629410638,18798.90379878529
2022-12-26,18776.88710021684,2186,19204.207475626274,18763.402011257363,17201.22020309005,18528.078307640855,18798.8643804495
2022-12-27,18866.16089190656,2187,19206.89428035466,18773.1769417611,17204.559486439364,18530.66422453696,18798.863469318265
2022-12-28,18960.69615502062,2188,19209.579964648514,18791.014692290755,17207.898769788677,18535.637785002975,18798.88891303501
2022-12-29,18939.920633572307,2189,19212.26452897508,18805.179358336405,17211.238053137986,18546.253166738992,18798.929078513396
2022-12-30,19045.317617575183,2190,19214.94797380139,18828.022491509106,17214.577336487295,18550.205102511154,18798.973581179755
2022-12-31,18966.518538032255,2191,19217.630299594297,18841.19691712812,17217.916619836607,18550.81317164622,18799.01312435821
2023-01-01,18748.883153516337,2192,19220.311506820453,18832.41557756756,17221.255903185916,18548.55130287357,18799.040312175635
2023-01-02,18587.87806630809,2193,19222.991595946318,18809.153965889655,17224.595186535225,18541.302829405042,18799.04904123894
2023-01-03,18660.69765623024,2194,19225.67056743815,18795.032071016976,17227.934469884538,18537.71274962873,18799.03282113993
2023-01-04,18676.45701328788,2195,19228.348421762017,18783.75262790261,17231.27375323385,18534.266235023948,18798.983532064725
2023-01-05,18742.139235024828,2196,19231.025159383797,18779.7941571521,17234.61303658316,18533.068462285533,18798.891986798502
2023-01-06,18782.570089726178,2197,19233.70078076917,18780.05821752161,17237.95231993247,18531.152927464267,18798.74805270577
2023-01-07,18665.782747227942,2198,19236.375286383623,18769.187772326553,17241.29160328178,18525.798165695232,18798.541159243992
2023-01-08,18536.057457293813,2199,19239.048676692444,18747.011269299637,17244.63088663109,18516.53347469005,18798.260611040696
2023-01-09,18565.425714783476,2200,19241.720952160733,18729.737957594953,17247.970169980403,18508.62325146303,18797.894688352924
2023-01-10,18546.590620069182,2201,19244.392113253394,18712.316081403344,17251.30945332971,18499.840409349017,18797.42964826525
2023-01-11,18580.41901944901,2202,19247.06216043514,18699.769383676536,17254.648736679024,18492.3749524016,18796.849954120153
2023-01-12,18527.625582080414,2203,19249.731094170478,18683.394217981655,17257.988020028333,18483.197081540657,18796.138133773788
2023-01-13,18798.94708496923,2204,19252.39891492374,18694.386175437547,17261.327303377642,18481.8195401872,18795.275045090537
2023-01-14,18668.17862766298,2205,19255.06562315905,18691.8931845004,17264.666586726955,18478.808625934384,18794.239474078677
2023-01-15,18555.632522443448,2206,19257.731219340345,18678.93139965431,17268.005870076264,18471.511850985033,18793.010235080128
2023-01-16,18676.04405153516,2207,19260.395703931365,18678.656740889768,17271.345153425576,18468.82706551772,18791.565169745092
2023-01-17,19148.49662422575,2208,19263.05907739566,18723.350223131674,17274.684436774885,18469.282220285913,18789.880288105614
2023-01-18,19244.444687494793,2209,19265.721340196586,18772.91929339452,17278.023720124198,18468.393901009724,18787.930708827094
2023-01-19,19410.818339230416,2210,19268.382492797304,18833.599390355994,17281.363003473507,18464.71574806264,18785.69431767629
2023-01-20,19548.241495027243,2211,19271.04253566078,18901.579664801113,17284.702286822816,18454.354424209236,18783.15252290435
2023-01-21,19416.657253996214,2212,19273.701469249794,18950.57638028308,17288.04157017213,18448.229068198518,18780.291556250253
2023-01-22,19351.633999859776,2213,19276.359294026926,18988.726955051792,17291.380853521438,18444.18977907649,18777.10355291727
2023-01-23,19254.915790635536,2214,19279.01601045457,19014.048147266647,17294.72013687075,18442.463137771374,18773.58555833781
2023-01-24,19150.340012266995,2215,19281.671618994915,19027.01290029029,17298.05942022006,18442.31612303366,18769.7390510496
2023-01-25,19208.258431337857,2216,19284.32612010997,19044.253867289055,17301.39870356937,18442.30680437374,18765.569223558196
2023-01-26,19181.61414517493,2217,19286.979514261548,19057.32025300507,17304.73798691868,18445.39497206736,18761.08420510497
2023-01-27,19227.099006735472,2218,19289.631801911266,19073.470443706265,17308.07727026799,18445.409446605317,18756.295540743085
2023-01-28,19118.354316243727,2219,19292.282983520556,19077.740018579214,17311.416553617302,18445.42879822294,18751.2180203555
2023-01-29,18989.23949997299,2220,19294.93305955064,19069.32141365227,17314.75583696661,18447.712010931726,18745.870066567968
2023-01-30,19012.92401855813,2221,19297.58203046257,19063.956615844487,17318.095120315924,18448.764213162132,18740.27293484804
