Date,Balance,KMeans_Cluster,KMeans_Core_Label,KMeans_Core_Probability
2017-11-02,12161.71939288559,0,1,1
2017-11-03,12157.88810357151,0,1,1
2017-11-04,12057.823973809098,0,1,1
2017-11-05,11958.133577694834,0,1,1
2017-11-06,11987.180650269622,0,1,1
2017-11-07,12003.599109513763,0,1,1
2017-11-08,11964.285564636735,0,1,1
2017-11-09,12011.53014913022,0,1,1
2017-11-10,11995.519593354802,0,1,1
2017-11-11,11884.675806078354,0,1,1
2017-11-12,11788.099848364338,0,1,1
2017-11-13,11781.939989537366,0,1,1
2017-11-14,11772.223771654537,0,1,1
2017-11-15,11781.388560355055,0,1,1
2017-11-16,11758.208945758155,0,1,1
2017-11-17,11745.933120827269,0,1,1
2017-11-18,11661.768331737148,0,1,1
2017-11-19,11583.036434289028,0,1,1
2017-11-20,11739.29048811582,0,1,1
2017-11-21,11726.092047098917,0,1,1
2017-11-22,11759.19120005902,0,1,1
2017-11-23,12169.608123761656,0,1,1
2017-11-24,12450.777257033174,0,1,1
2017-11-25,12362.869171801756,0,1,1
2017-11-26,12276.920388053912,0,1,1
2017-11-27,12343.560955280109,0,1,1
2017-11-28,12433.991229152689,0,1,1
2017-11-29,12466.883594395826,0,1,1
2017-11-30,12593.709077391575,0,1,1
2017-12-01,12312.35048605565,0,1,1
2017-12-02,12188.310096134444,0,1,1
2017-12-03,12081.034895231787,0,1,1
2017-12-04,12175.019122532196,0,1,1
2017-12-05,12190.527754802337,0,1,1
2017-12-06,12183.286107708858,0,1,1
2017-12-07,12218.770491653891,0,1,1
2017-12-08,12428.74702896335,0,1,1
2017-12-09,12330.186644574658,0,1,1
2017-12-10,12240.492046021876,0,1,1
2017-12-11,12227.586690420005,0,1,1
2017-12-12,12182.911359411792,0,1,1
2017-12-13,12141.50484346062,0,1,1
2017-12-14,12104.829762630365,0,1,1
2017-12-15,12140.65843248914,0,1,1
2017-12-16,12051.408024090466,0,1,1
2017-12-17,11969.619823332734,0,1,1
2017-12-18,12035.393496752047,0,1,1
2017-12-19,12191.548082036115,0,1,1
2017-12-20,12294.715142770418,0,1,1
2017-12-21,12740.2968614781,0,1,1
2017-12-22,12974.075632438717,0,1,1
2017-12-23,12881.444480639451,0,1,1
2017-12-24,12777.376852648862,0,1,1
2017-12-25,12674.705341968953,0,1,1
2017-12-26,12682.172274961278,0,1,1
2017-12-27,12724.833262142063,0,1,1
2017-12-28,12782.972850751594,0,1,1
2017-12-29,12915.005913725028,0,1,1
2017-12-30,12840.352901061366,0,1,1
2017-12-31,12790.624067817203,0,1,1
2018-01-01,12567.178155848676,0,1,1
2018-01-02,12583.173006739631,0,1,1
2018-01-03,12582.504800971788,0,1,1
2018-01-04,12563.469557126393,0,1,1
2018-01-05,12596.20246771876,0,1,1
2018-01-06,12484.629024209147,0,1,1
2018-01-07,12387.516557122255,0,1,1
2018-01-08,12540.559398753545,0,1,1
2018-01-09,12508.995478351228,0,1,1
2018-01-10,12477.444823603368,0,1,1
2018-01-11,12521.068644570592,0,1,1
2018-01-12,12470.69434506911,0,1,1
2018-01-13,12374.687966469884,0,1,1
2018-01-14,12281.686373956263,0,1,1
2018-01-15,12308.297170708842,0,1,1
2018-01-16,12305.597538845135,0,1,1
2018-01-17,12426.789926746584,0,1,1
2018-01-18,12413.225567033223,0,1,1
2018-01-19,12419.101044661737,0,1,1
2018-01-20,12318.462678290138,0,1,1
2018-01-21,12226.780587684283,0,1,1
2018-01-22,12279.003916499263,0,1,1
2018-01-23,12267.160978280654,0,1,1
2018-01-24,12326.479463131263,0,1,1
2018-01-25,12894.410813666876,0,1,1
2018-01-26,13038.764886367217,0,1,1
2018-01-27,12936.284703826072,0,1,1
2018-01-28,12841.699016086375,0,1,1
2018-01-29,12456.648952635172,0,1,1
2018-01-30,13123.275349298709,0,1,1
2018-01-31,13026.32397000149,0,1,1
2018-02-01,12755.381618930229,0,1,1
2018-02-02,12919.465274968974,0,1,1
2018-02-03,12784.107254872191,0,1,1
2018-02-04,12688.325767022134,0,1,1
2018-02-05,12890.568728953762,0,1,1
2018-02-06,12886.91503603022,0,1,1
2018-02-07,12896.958951079883,0,1,1
2018-02-08,13272.083800141934,0,1,1
2018-02-09,13283.951062328675,0,1,1
2018-02-10,13153.44454449744,0,1,1
2018-02-11,13027.628845493706,0,1,1
2018-02-12,13106.927618285295,0,1,1
2018-02-13,13162.94559500852,0,1,1
2018-02-14,13172.63271874942,0,1,1
2018-02-15,13315.442734753164,0,1,1
2018-02-16,13249.771571502057,0,1,1
2018-02-17,13184.306766978792,0,1,1
2018-02-18,13115.934567218472,0,1,1
2018-02-19,13085.04031700064,0,1,1
2018-02-20,13029.92248911199,0,1,1
2018-02-21,12979.544298609128,0,1,1
2018-02-22,12970.210734925971,0,1,1
2018-02-23,13066.852542351342,0,1,1
2018-02-24,12966.146123736366,0,1,1
2018-02-25,12886.394143945152,0,1,1
2018-02-26,13043.248326243349,0,1,1
2018-02-27,13160.385874657706,0,1,1
2018-02-28,13360.934601048262,0,1,1
2018-03-01,13326.88174928844,0,1,1
2018-03-02,13283.502960602367,0,1,1
2018-03-03,13148.46884361807,0,1,1
2018-03-04,13022.880594812576,0,1,1
2018-03-05,13061.845593330898,0,1,1
2018-03-06,13048.947617754857,0,1,1
2018-03-07,13036.644714740934,0,1,1
2018-03-08,13008.543256545365,0,1,1
2018-03-09,13006.377853157486,0,1,1
2018-03-10,12903.6396362128,0,1,1
2018-03-11,12806.924772106331,0,1,1
2018-03-12,12767.473356264374,0,1,1
2018-03-13,12732.161480326602,0,1,1
2018-03-14,12702.608049320672,0,1,1
2018-03-15,12760.162911747417,0,1,1
2018-03-16,12729.10375415756,0,1,1
2018-03-17,12633.893427623929,0,1,1
2018-03-18,12551.988423624683,0,1,1
2018-03-19,12622.285563095258,0,1,1
2018-03-20,12747.842044324265,0,1,1
2018-03-21,12745.722795618272,0,1,1
2018-03-22,13173.12736739829,0,1,1
2018-03-23,13536.351929235369,0,1,1
2018-03-24,13410.213558043652,0,1,1
2018-03-25,13320.26248959747,0,1,1
2018-03-26,13409.73740689394,0,1,1
2018-03-27,13465.036283805332,0,1,1
2018-03-28,13572.729783118612,0,1,1
2018-03-29,13627.20289153297,0,1,1
2018-03-30,13728.01119013671,0,1,1
2018-03-31,13632.993550128243,0,1,1
2018-04-01,13402.35985722237,0,1,1
2018-04-02,13394.055917714091,0,1,1
2018-04-03,13369.8189373094,0,1,1
2018-04-04,13371.573740343856,0,1,1
2018-04-05,13373.64711410734,0,1,1
2018-04-06,13371.869605876736,0,1,1
2018-04-07,13277.770700273592,0,1,1
2018-04-08,13175.934319267388,0,1,1
2018-04-09,13181.133081755415,0,1,1
2018-04-10,13157.737904577718,0,1,1
2018-04-11,13140.975329270075,0,1,1
2018-04-12,13122.330563659269,0,1,1
2018-04-13,13091.538222995188,0,1,1
2018-04-14,12997.652362377816,0,1,1
2018-04-15,12913.912180676163,0,1,1
2018-04-16,12927.695848937046,0,1,1
2018-04-17,12914.6529821963,0,1,1
2018-04-18,13042.488633766348,0,1,1
2018-04-19,13035.14918795813,0,1,1
2018-04-20,13048.494923689914,0,1,1
2018-04-21,12945.331287863224,0,1,1
2018-04-22,12879.2457166745,0,1,1
2018-04-23,12918.667761484789,0,1,1
2018-04-24,12969.21292309062,0,1,1
2018-04-25,13508.448709667304,0,1,1
2018-04-26,13589.564931797016,0,1,1
2018-04-27,13754.52701744863,0,1,1
2018-04-28,13664.96141056962,0,1,1
2018-04-29,13549.656679170788,0,1,1
2018-04-30,13708.043564617628,0,1,1
2018-05-01,13469.124879678142,0,1,1
2018-05-02,13457.78397978144,0,1,1
2018-05-03,13423.328054925278,0,1,1
2018-05-04,13428.682924987175,0,1,1
2018-05-05,13324.207240716072,0,1,1
2018-05-06,13219.36887974504,0,1,1
2018-05-07,13207.83359784846,0,1,1
2018-05-08,13190.360854738434,0,1,1
2018-05-09,13125.14811902808,0,1,1
2018-05-10,13334.359544681884,0,1,1
2018-05-11,13244.40690424526,0,1,1
2018-05-12,13148.546636099218,0,1,1
2018-05-13,13062.441969839469,0,1,1
2018-05-14,13144.99352034597,0,1,1
2018-05-15,13144.888177335695,0,1,1
2018-05-16,13154.2579327757,0,1,1
2018-05-17,13160.312069353193,0,1,1
2018-05-18,13289.37156799326,0,1,1
2018-05-19,13201.01515487527,0,1,1
2018-05-20,13107.431477495636,0,1,1
2018-05-21,13104.20211667374,0,1,1
2018-05-22,13170.850429332357,0,1,1
2018-05-23,13196.17834688226,0,1,1
2018-05-24,13630.941323818646,0,1,1
2018-05-25,13884.231882430617,0,1,1
2018-05-26,13776.401232635655,0,1,1
2018-05-27,13677.081399829513,0,1,1
2018-05-28,13817.63392291924,0,1,1
2018-05-29,13694.389408801702,0,1,1
2018-05-30,13763.5916752439,0,1,1
2018-05-31,13843.45589535456,0,1,1
2018-06-01,13653.830097564678,0,1,1
2018-06-02,13512.654270617271,0,1,1
2018-06-03,13386.986029766982,0,1,1
2018-06-04,13409.357252894624,0,1,1
2018-06-05,13443.152013376894,0,1,1
2018-06-06,13508.154118753358,0,1,1
2018-06-07,13563.970375126815,0,1,1
2018-06-08,13560.623708992967,0,1,1
2018-06-09,13431.0682042972,0,1,1
2018-06-10,13312.889560375012,0,1,1
2018-06-11,13362.06357461541,0,1,1
2018-06-12,13372.221565328928,0,1,1
2018-06-13,13441.845929757274,0,1,1
2018-06-14,13419.85224389029,0,1,1
2018-06-15,13360.791427739796,0,1,1
2018-06-16,13295.758566271476,0,1,1
2018-06-17,13226.79747618927,0,1,1
2018-06-18,13203.76509177484,0,1,1
2018-06-19,13158.23873379859,0,1,1
2018-06-20,13104.277923230906,0,1,1
2018-06-21,13056.0668464325,0,1,1
2018-06-22,13079.80968260378,0,1,1
2018-06-23,12984.15805734784,0,1,1
2018-06-24,12892.478767460334,0,1,1
2018-06-25,13043.98755450258,0,1,1
2018-06-26,13064.405012516629,0,1,1
2018-06-27,13112.800561345632,0,1,1
2018-06-28,13218.065389865124,0,1,1
2018-06-29,13323.54054576646,0,1,1
2018-06-30,13299.764005927742,0,1,1
2018-07-01,13068.357154169096,0,1,1
2018-07-02,13067.767294246309,0,1,1
2018-07-03,13057.068266027169,0,1,1
2018-07-04,13052.31462979904,0,1,1
2018-07-05,13067.659902999989,0,1,1
2018-07-06,13090.195092406995,0,1,1
2018-07-07,12982.64186042536,0,1,1
2018-07-08,12879.862651035162,0,1,1
2018-07-09,12867.4627964205,0,1,1
2018-07-10,12832.449063350605,0,1,1
2018-07-11,12803.57771210513,0,1,1
2018-07-12,12760.695846998544,0,1,1
2018-07-13,12879.80574859068,0,1,1
2018-07-14,12784.524267330627,0,1,1
2018-07-15,12695.700989495985,0,1,1
2018-07-16,12697.760129084594,0,1,1
2018-07-17,12680.19531663336,0,1,1
2018-07-18,13009.832065937857,0,1,1
2018-07-19,12991.2727779233,0,1,1
2018-07-20,12990.36204345861,0,1,1
2018-07-21,12887.379487703834,0,1,1
2018-07-22,12816.175443918326,0,1,1
2018-07-23,12819.457074921464,0,1,1
2018-07-24,12831.170318674544,0,1,1
2018-07-25,12997.975748019931,0,1,1
2018-07-26,13084.285204519769,0,1,1
2018-07-27,13185.112938420429,0,1,1
2018-07-28,13113.89704477517,0,1,1
2018-07-29,13002.357732437931,0,1,1
2018-07-30,13080.549152037289,0,1,1
2018-07-31,13153.810819523193,0,1,1
2018-08-01,13062.550439293473,0,1,1
2018-08-02,13027.364700524226,0,1,1
2018-08-03,13012.958625922623,0,1,1
2018-08-04,12908.160931291755,0,1,1
2018-08-05,12809.574047890035,0,1,1
2018-08-06,12859.14013022506,0,1,1
2018-08-07,12853.35418237678,0,1,1
2018-08-08,12818.4028745262,0,1,1
2018-08-09,12786.205649999049,0,1,1
2018-08-10,12904.05923367798,0,1,1
2018-08-11,12806.564791495564,0,1,1
2018-08-12,12708.42964016879,0,1,1
2018-08-13,12702.85506332258,0,1,1
2018-08-14,13026.306958564332,0,1,1
2018-08-15,13055.205310774536,0,1,1
2018-08-16,13068.173599306068,0,1,1
2018-08-17,13055.727077965352,0,1,1
2018-08-18,12952.754683600966,0,1,1
2018-08-19,12857.505372191175,0,1,1
2018-08-20,12574.106559253496,0,1,1
2018-08-21,12908.570371385737,0,1,1
2018-08-22,12850.077559925525,0,1,1
2018-08-23,12864.401536422394,0,1,1
2018-08-24,13010.469007286072,0,1,1
2018-08-25,12929.127090987628,0,1,1
2018-08-26,12846.298007554336,0,1,1
2018-08-27,12925.899908772675,0,1,1
2018-08-28,13011.11126378338,0,1,1
2018-08-29,13027.004758425124,0,1,1
2018-08-30,13134.112012758402,0,1,1
2018-08-31,13054.447674269157,0,1,1
2018-09-01,12843.947601450316,0,1,1
2018-09-02,12723.764520167304,0,1,1
2018-09-03,12765.901954444049,0,1,1
2018-09-04,12763.241897093916,0,1,1
2018-09-05,12765.229071887386,0,1,1
2018-09-06,12773.730939056524,0,1,1
2018-09-07,12782.915755659753,0,1,1
2018-09-08,12692.1291072972,0,1,1
2018-09-09,12679.787835522407,0,1,1
2018-09-10,12596.02645180819,0,1,1
2018-09-11,12506.776473645352,0,1,1
2018-09-12,12572.821416429706,0,1,1
2018-09-13,12547.014184157948,0,1,1
2018-09-14,12551.059089750675,0,1,1
2018-09-15,12471.224239899911,0,1,1
2018-09-16,12403.332566865542,0,1,1
2018-09-17,12320.142385075082,0,1,1
2018-09-18,12353.43922359563,0,1,1
2018-09-19,12496.657037690891,0,1,1
2018-09-20,12496.48006501468,0,1,1
2018-09-21,12535.084636324742,0,1,1
2018-09-22,12467.16306097948,0,1,1
2018-09-23,12383.008219675705,0,1,1
2018-09-24,12435.401698245125,0,1,1
2018-09-25,12942.38712584222,0,1,1
2018-09-26,13007.509105834704,0,1,1
2018-09-27,13085.941245561213,0,1,1
2018-09-28,13268.957681340344,0,1,1
2018-09-29,13161.881028785136,0,1,1
2018-09-30,13081.693437969196,0,1,1
2018-10-01,13025.71772854789,0,1,1
2018-10-02,12994.413155222584,0,1,1
2018-10-03,12956.821891599571,0,1,1
2018-10-04,12950.08578289479,0,1,1
2018-10-05,12963.89645223914,0,1,1
2018-10-06,12858.55539159292,0,1,1
2018-10-07,12768.789774205788,0,1,1
2018-10-08,12792.002117834863,0,1,1
2018-10-09,12751.849524973732,0,1,1
2018-10-10,12715.58466098323,0,1,1
2018-10-11,12688.983046533223,0,1,1
2018-10-12,12654.242545931502,0,1,1
2018-10-13,12564.748970695371,0,1,1
2018-10-14,12484.113065588004,0,1,1
2018-10-15,12489.610733281208,0,1,1
2018-10-16,12470.315648777909,0,1,1
