Day,Path_0,Path_100,Path_200,Path_300,Path_400,Path_500,Path_600,Path_700,Path_800,Path_900,Pct_5,Pct_25,Pct_50,Pct_75,Pct_95
311,55.13696183863619,60.316597866929335,57.341755164459926,66.84240776851459,55.57186749741855,58.3903569348518,62.92169183908189,57.48676782277642,55.70411225179295,52.338807878373856,47.596841553889206,51.59831072624654,54.97597293802621,58.594523732981216,63.917807461330945
312,53.800507094396494,59.230084026160796,56.23431950830586,65.81198850375567,54.538644325903796,57.21915826036498,61.75708034905763,56.24764312695093,54.61783281942491,50.783757827348516,46.67717816661183,50.64177811134036,53.90713684288869,57.51543001517837,62.75504540061721
313,52.5725606481686,58.2053529260641,55.15956483645156,65.30605558251659,53.369803696340824,56.52176147972954,60.070993391061926,54.79316125705123,53.97134735583411,49.768837182902374,45.753397703863726,49.71193730575599,52.92951237722531,56.52525176416066,61.69888208571212
314,51.37588055982194,56.84464370406563,54.817766493258645,64.30168564356498,52.38939440459407,55.419278274604906,58.68322649148071,53.4360668813046,52.91818883704431,48.70431076941305,44.869730008723195,48.876079849995804,51.92889034566315,55.43702598994372,60.59397519238189
315,50.07562987864751,55.97059458857245,53.701055833780266,62.83641994404375,50.77056981309738,54.30972624978343,57.65957123504921,52.469737506812685,51.797503383573144,47.39415462212036,44.04869203505926,47.963920833600255,50.909688177900236,54.446620603817095,59.32485468598384
316,49.141172833776025,54.69096934199049,52.77311655003569,61.719888955252415,49.38335188381614,53.27212556161956,56.631507986303916,51.46321819858417,50.79802071582576,46.43011332920519,43.21856698082311,47.067957524373455,50.084896207475175,53.508420092037355,58.37068310660502
317,48.056057683231195,54.22551752170482,51.9454260585231,60.593478321582566,48.69698875833098,52.26112245320885,55.161100393879714,50.1752965283074,50.101643295471355,45.79972956804186,42.38748044031429,46.218547899577096,49.12793121128027,52.59448913523389,57.195269072326745
318,47.241677734876745,52.97371775675947,50.912424082238154,59.69574325111081,47.86836236356473,51.446244280098064,54.134285446735014,49.4342917094956,48.838524801799096,44.66807280974217,41.62301918380563,45.358037570903726,48.2119603415147,51.46977692068269,56.29090715032518
319,46.28598328570138,51.595919430407655,49.81820860578173,58.793281840286134,47.31255720330008,50.28866562611661,53.16866547281072,48.38937801743015,47.622114593409115,43.613443845996,40.72263888246737,44.437481399356834,47.293376020058346,50.55942455586755,55.08585841274807
320,45.4584514972722,50.14815713426384,48.58997468541335,57.784392879966255,46.34569783719086,49.130828780840474,52.06198308698501,47.44315270977717,46.66451575610054,42.86549272769855,39.88012653593031,43.61839113903135,46.36480004464099,49.57711879138559,54.10499838577424
321,44.59227689683134,49.369774701236146,47.21288790893626,56.86224087164722,45.482168925568885,48.33962761534729,51.087739274058585,46.418040828623056,45.81555901733121,42.165083253968696,39.235254652112886,42.80891585172284,45.46996440397285,48.69587051022516,53.22421571354157
322,43.62763959850477,48.817994620960974,46.78298377956897,56.495549563786504,44.64795581195407,47.3667135361089,49.878719188041245,45.5256454419361,45.168465194094296,41.53510416263544,38.43284816812777,42.00623509671194,44.67691797072487,47.784145492490275,52.2123485645224
323,43.00299674008539,47.276056593593914,46.06446450188546,55.503791384211986,43.847491098052004,46.565930130426416,49.19380263484211,44.35066498706176,44.41527655091545,41.10709532092799,37.70703727584605,41.17956614435569,43.755224542668856,46.985370613831364,51.171042946549214
324,41.73951944123371,46.532873104986116,44.71354629068489,54.44711296681241,42.99219979551274,45.67871291338275,48.00621141520429,43.404034433137795,43.70499513102202,40.49462484235345,37.12988134153208,40.409909294177346,42.95699427132787,46.172822679911754,50.230362668437515
