Days,Years,S(t),Cumulative_Decay
1466,4.016438356164383,1.1948585211350408e-12,0.9999999999988052
1467,4.019178082191781,1.172691253459273e-12,0.9999999999988273
1468,4.021917808219178,1.1509352376158495e-12,0.999999999998849
1469,4.024657534246575,1.1295828439739076e-12,0.9999999999988705
1470,4.027397260273973,1.1086265844491076e-12,0.9999999999988913
1471,4.03013698630137,1.0880591098776323e-12,0.999999999998912
1472,4.032876712328767,1.0678732074389041e-12,0.9999999999989321
1473,4.035616438356165,1.048061798126116e-12,0.999999999998952
1474,4.038356164383561,1.0286179342636911e-12,0.9999999999989714
1475,4.041095890410959,1.009534797070797e-12,0.9999999999989905
1476,4.043835616438356,9.908056942700636e-13,0.9999999999990092
1477,4.046575342465753,9.724240577406648e-13,0.9999999999990276
1478,4.049315068493151,9.543834412149386e-13,0.9999999999990457
1479,4.052054794520548,9.366775180177428e-13,0.9999999999990633
1480,4.054794520547945,9.193000788477487e-13,0.9999999999990807
1481,4.057534246575343,9.022450295998978e-13,0.9999999999990977
1482,4.06027397260274,8.855063892282554e-13,0.9999999999991145
1483,4.063013698630137,8.690782876485146e-13,0.9999999999991309
1484,4.065753424657534,8.529549636794125e-13,0.999999999999147
1485,4.068493150684931,8.371307630223378e-13,0.9999999999991629
1486,4.071232876712329,8.216001362784217e-13,0.9999999999991784
1487,4.073972602739726,8.063576370024152e-13,0.9999999999991936
1488,4.076712328767123,7.91397919792672e-13,0.9999999999992086
1489,4.079452054794521,7.767157384165664e-13,0.9999999999992233
1490,4.082191780821918,7.623059439706885e-13,0.9999999999992377
1491,4.0849315068493155,7.481634830751719e-13,0.9999999999992518
1492,4.087671232876712,7.342833961015211e-13,0.9999999999992657
1493,4.090410958904109,7.206608154333161e-13,0.9999999999992794
1494,4.093150684931507,7.072909637591847e-13,0.9999999999992927
1495,4.095890410958904,6.941691523974447e-13,0.9999999999993058
1496,4.098630136986301,6.812907796518267e-13,0.9999999999993187
1497,4.101369863013699,6.686513291977024e-13,0.9999999999993313
1498,4.104109589041096,6.562463684982522e-13,0.9999999999993437
1499,4.1068493150684935,6.440715472500157e-13,0.999999999999356
1500,4.109589041095891,6.321225958572814e-13,0.9999999999993678
1501,4.112328767123287,6.203953239347792e-13,0.9999999999993796
1502,4.115068493150685,6.088856188381515e-13,0.9999999999993912
1503,4.117808219178082,5.97589444221688e-13,0.9999999999994024
1504,4.120547945205479,5.865028386228161e-13,0.9999999999994135
1505,4.123287671232877,5.756219140728541e-13,0.9999999999994243
1506,4.126027397260274,5.649428547335362e-13,0.999999999999435
1507,4.1287671232876715,5.544619155588342e-13,0.9999999999994456
1508,4.131506849315069,5.44175420981605e-13,0.9999999999994559
1509,4.134246575342465,5.340797636246036e-13,0.9999999999994659
1510,4.136986301369863,5.241714030354093e-13,0.9999999999994759
1511,4.13972602739726,5.144468644448229e-13,0.9999999999994855
1512,4.142465753424657,5.049027375482972e-13,0.9999999999994951
1513,4.145205479452055,4.955356753099755e-13,0.9999999999995045
1514,4.147945205479452,4.86342392788917e-13,0.9999999999995136
1515,4.1506849315068495,4.773196659870994e-13,0.9999999999995227
1516,4.153424657534247,4.684643307187925e-13,0.9999999999995315
1517,4.156164383561644,4.597732815009084e-13,0.9999999999995403
1518,4.158904109589041,4.5124347046393715e-13,0.9999999999995488
1519,4.161643835616438,4.42871906283088e-13,0.9999999999995571
1520,4.164383561643835,4.346556531292594e-13,0.9999999999995653
1521,4.167123287671233,4.2659182963947147e-13,0.9999999999995735
1522,4.16986301369863,4.1867760790639906e-13,0.9999999999995813
1523,4.1726027397260275,4.10910212486651e-13,0.9999999999995891
1524,4.175342465753425,4.032869194274481e-13,0.9999999999995968
1525,4.178082191780822,3.9580505531135855e-13,0.9999999999996042
1526,4.1808219178082195,3.8846199631875556e-13,0.9999999999996115
1527,4.183561643835616,3.812551673076682e-13,0.9999999999996187
1528,4.186301369863013,3.7418204091070325e-13,0.9999999999996259
1529,4.189041095890411,3.6724013664872143e-13,0.9999999999996327
1530,4.191780821917808,3.604270200609562e-13,0.9999999999996396
