Date,Balance,trend,residual,quantile_10,fitted_growth
2017-04-21,10849.113664768012,11088.945656012298,-239.83199124428575,10272.207253270666,11685.018286080815
2017-04-22,10784.865704337488,11092.970274262532,-308.1045699250444,10275.546536619977,11687.87602621342
2017-04-23,10704.18363037129,11096.994892512768,-392.81126214147844,10278.885819969288,11690.734465247688
2017-04-24,10623.84945071933,11101.019510763004,-477.1700600436743,10282.225103318598,11693.593603354539
2017-04-25,10699.516093316508,11105.044129013238,-405.5280356967305,10285.56438666791,11696.453440704943
2017-04-26,10793.631340104335,11109.068747263475,-315.4374071591392,10288.90367001722,11699.313977469912
2017-04-27,10850.042818170925,11113.093365513709,-263.05054734278383,10292.242953366529,11702.175213820497
2017-04-28,11046.875394122731,11117.117983763945,-70.24258964121327,10295.58223671584,11705.037149927794
2017-04-29,10936.213539968943,11121.14260201418,-184.92906204523752,10298.92152006515,11707.899785962934
2017-04-30,10862.127458632249,11125.167220264415,-263.0397616321661,10302.260803414461,11710.763122097096
2017-05-01,10542.308510492756,11129.191838514651,-586.8833280218951,10305.600086763772,11713.6271585015
2017-05-02,10561.65019908946,11133.216456764885,-571.5662576754257,10308.939370113083,11716.491895347408
2017-05-03,10543.109091106677,11137.241075015121,-594.1319839084445,10312.278653462394,11719.357332806123
2017-05-04,10516.999312387185,11141.265693265357,-624.2663808781726,10315.617936811705,11722.22347104899
2017-05-05,10539.621050557162,11145.290311515591,-605.6692609584297,10318.957220161014,11725.090310247393
2017-05-06,10434.316652510955,11149.314929765827,-714.9982772548719,10322.296503510324,11727.957850572764
2017-05-07,10335.347778934378,11153.339548016062,-817.9917690816837,10325.635786859635,11730.826092196572
2017-05-08,10344.525593741737,11157.364166266298,-812.8385725245607,10328.975070208946,11733.695035290333
2017-05-09,10315.38464687746,11161.388784516534,-846.0041376390727,10332.314353558257,11736.564680025598
2017-05-10,10217.423158135918,11165.413402766768,-947.9902446308497,10335.653636907567,11739.435026573963
2017-05-11,10215.83880038702,11169.438021017004,-953.5992206299834,10338.992920256878,11742.30607510707
2017-05-12,10208.078838616197,11173.462639267238,-965.3838006510414,10342.332203606187,11745.177825796594
2017-05-13,10115.010357401656,11177.487257517474,-1062.4769001158184,10345.671486955498,11748.050278814266
2017-05-14,9963.236051562077,11181.51187576771,-1218.2758242056334,10349.010770304809,11750.923434331844
2017-05-15,9971.676565034822,11185.536494017944,-1213.8599289831218,10352.35005365412,11753.797292521136
2017-05-16,9964.039454919664,11189.56111226818,-1225.5216573485159,10355.68933700343,11756.671853553991
2017-05-17,10095.441748995418,11193.585730518414,-1098.143981522997,10359.028620352741,11759.5471176023
2017-05-18,10083.400363413377,11197.61034876865,-1114.2099853552736,10362.367903702052,11762.423084837994
2017-05-19,10062.792331998824,11201.634967018887,-1138.8426350200625,10365.707187051361,11765.299755433049
2017-05-20,9972.405340077075,11205.65958526912,-1233.2542451920453,10369.046470400672,11768.177129559479
2017-05-21,9885.242477732138,11209.684203519357,-1324.4417257872192,10372.385753749983,11771.055207389349
2017-05-22,9963.333805608752,11213.708821769591,-1250.3750161608386,10375.725037099293,11773.933989094754
2017-05-23,9957.971223657036,11217.733440019827,-1259.7622163627912,10379.064320448604,11776.813474847837
2017-05-24,10011.320088605022,11221.758058270063,-1210.4379696650412,10382.403603797915,11779.693664820787
2017-05-25,10552.288714994282,11225.782676520297,-673.4939615260155,10385.742887147226,11782.574559185829
2017-05-26,10656.026779780665,11229.807294770533,-573.7805149898686,10389.082170496536,11785.456158115232
2017-05-27,10550.467160457056,11233.831913020767,-683.3647525637116,10392.421453845845,11788.338461781306
2017-05-28,10456.50666855598,11237.856531271003,-781.3498627150238,10395.760737195156,11791.221470356406
2017-05-29,10481.902150052068,11241.88114952124,-759.978999469171,10399.100020544467,11794.105184012931
2017-05-30,10516.37484561634,11245.905767771474,-729.5309221551342,10402.439303893778,11796.989602923313
2017-05-31,10569.209492299706,11249.93038602171,-680.7208937220039,10405.778587243089,11799.874727260038
2017-06-01,10457.424763158402,11253.955004271944,-796.5302411135417,10409.1178705924,11802.760557195623
2017-06-02,10468.531500477267,11257.97962252218,-789.4481220449125,10412.45715394171,11805.647092902633
2017-06-03,10350.922590143944,11262.004240772416,-911.0816506284718,10415.796437291021,11808.534334553677
2017-06-04,10241.640336269797,11266.02885902265,-1024.3885227528535,10419.13572064033,11811.422282321402
2017-06-05,10303.380636162225,11270.053477272886,-966.6728411106615,10422.47500398964,11814.310936378502
2017-06-06,10324.187510327358,11274.07809552312,-949.8905851957625,10425.814287338952,11817.200296897707
2017-06-07,10328.300249988122,11278.102713773356,-949.8024637852341,10429.153570688262,11820.090364051792
2017-06-08,10381.205004453106,11282.127332023592,-900.9223275704862,10432.492854037573,11822.981138013578
2017-06-09,10345.015036287625,11286.151950273827,-941.1369139862018,10435.832137386884,11825.872618955924
2017-06-10,10234.39361094487,11290.176568524063,-1055.782957579193,10439.171420736195,11828.76480705173
2017-06-11,10140.709382041676,11294.201186774297,-1153.491804732621,10442.510704085504,11831.657702473942
2017-06-12,10008.65955578106,11298.225805024533,-1289.566249243473,10445.849987434814,11834.551305395551
2017-06-13,10200.34292882751,11302.250423274769,-1101.9074944472595,10449.189270784125,11837.445615989578
2017-06-14,10202.55162408058,11306.275041525003,-1103.7234174444238,10452.528554133436,11840.340634429102
2017-06-15,10619.00759855991,11310.299659775239,-691.2920612153284,10455.867837482747,11843.236360887233
2017-06-16,10871.44045457269,11314.324278025473,-442.88382345278296,10459.207120832058,11846.132795537127
2017-06-17,10752.889896614388,11318.34889627571,-565.4589996613213,10462.546404181368,11849.029938551985
2017-06-18,10693.197840188745,11322.373514525945,-629.1756743372007,10465.885687530677,11851.927790105045
2017-06-19,10731.518911550624,11326.39813277618,-594.8792212255557,10469.224970879988,11854.826350369593
2017-06-20,10852.548860637567,11330.422751026415,-477.87389038884794,10472.564254229299,11857.725619518951
2017-06-21,10945.24223729104,11334.447369276651,-389.20513198561093,10475.90353757861,11860.625597726492
2017-06-22,11103.036634559156,11338.471987526886,-235.43535296773007,10479.24282092792,11863.526285165624
2017-06-23,11256.922209467752,11342.496605777122,-85.57439630937006,10482.582104277231,11866.427682009798
2017-06-24,11161.988376277672,11346.521224027356,-184.53284774968415,10485.921387626542,11869.329788432513
2017-06-25,11095.71857116928,11350.545842277592,-254.82727110831183,10489.260670975853,11872.232604607301
