Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
667,3.7620363254354326e-06,6.676656307115459e-09,1.1151186935357595e-11
668,3.6922422328656527e-06,6.490856199921591e-09,1.0737428584345828e-11
669,3.6237429750439333e-06,6.310226596980947e-09,1.0339022497987535e-11
670,3.5565145299225187e-06,6.134623611862908e-09,9.955399039369253e-12
671,3.4905333211157567e-06,5.963907362254038e-09,9.586009707626206e-12
672,3.4257762096320825e-06,5.7979418585302386e-09,9.230326353701423e-12
673,3.3622204857593907e-06,5.63659489542976e-09,8.88784042520367e-12
674,3.2998438611009514e-06,5.479737946740766e-09,8.55806223928448e-12
675,3.2386244607590787e-06,5.3272460629195654e-09,8.24052028249467e-12
676,3.1785408156638096e-06,5.178997771557958e-09,7.93476053661927e-12
677,3.1195718550439024e-06,5.034874980620408e-09,7.640345829526966e-12
678,3.061696899037513e-06,4.894762884373963e-09,7.356855210105893e-12
679,3.0048956514399644e-06,4.758549871935981e-09,7.083883346392075e-12
680,2.9491481925860534e-06,4.626127438366827e-09,6.821039946029967e-12
681,2.8944349723644156e-06,4.497390098236705e-09,6.567949198236467e-12
682,2.8407368033614814e-06,4.372235301597781e-09,6.324249236470538e-12
683,2.7880348541326304e-06,4.250563352294665e-09,6.089591621040153e-12
684,2.7363106425981813e-06,4.132277328548166e-09,5.863640840906823e-12
685,2.685546029561898e-06,4.017283005749072e-09,5.6460738339753715e-12
686,2.6357232123497454e-06,3.905488781400454e-09,5.436579525183083e-12
687,2.5868247185666575e-06,3.796805602148689e-09,5.234858381727787e-12
688,2.538833399969132e-06,3.691146892845098e-09,5.040621984798947e-12
689,2.4917324264515028e-06,3.5884284875816666e-09,4.853592617199417e-12
690,2.445505280143778e-06,3.488568562645939e-09,4.67350286626826e-12
691,2.4001357496189804e-06,3.3914875713416543e-09,4.500095241536883e-12
692,2.35560792420795e-06,3.2971081806232195e-09,4.333121806571819e-12
693,2.3119061884196204e-06,3.2053552094935377e-09,4.172343824477774e-12
694,2.2690152164648165e-06,3.116155569116119e-09,4.01753141655407e-12
695,2.226919966881639e-06,3.0294382045937745e-09,3.8684632336164594e-12
696,2.1856056772605685e-06,2.9451340383675065e-09,3.724926139514335e-12
697,2.1450578590674244e-06,2.863175915190517e-09,3.5867149063908675e-12
698,2.1052622925623727e-06,2.783498548633494e-09,3.453631921250325e-12
699,2.066205021813197e-06,2.7060384690785654e-09,3.3254869034130543e-12
700,2.0278723498010836e-06,2.630733973160496e-09,3.2020966324541283e-12
701,1.9902508336172033e-06,2.557525074614849e-09,3.083284686236668e-12
702,1.9533272797484133e-06,2.48635345649396e-09,2.968881188665294e-12
703,1.917088739450412e-06,2.4171624247126634e-09,2.8587225667990366e-12
704,1.8815225042067379e-06,2.349896862886757e-09,2.752651316976431e-12
705,1.846616101272011e-06,2.284503188428243e-09,2.6505157796184057e-12
706,1.8123572892978583e-06,2.2209293098623593e-09,2.5521699223869833e-12
707,1.7787340540399879e-06,2.1591245853324083e-09,2.457473131389747e-12
708,1.7457346041449056e-06,2.0990397822593273e-09,2.3662900101315493e-12
709,1.7133473670147976e-06,2.040627038123862e-09,2.278490185925997e-12
710,1.6815609847491298e-06,1.9838398223401093e-09,2.1939481234899318e-12
711,1.6503643101615375e-06,1.928632899190054e-09,2.1125429454543754e-12
712,1.6197464028706123e-06,1.874962291789574e-09,2.0341582595353145e-12
713,1.5896965254632127e-06,1.822785247057213e-09,1.958681992117212e-12
714,1.5602041397289534e-06,1.7720602016578114e-09,1.8860062280113104e-12
715,1.531258902964555e-06,1.7227467488938704e-09,1.8160270561596049e-12
716,1.5028506643467533e-06,1.6748056065182705e-09,1.7486444210638857e-12
717,1.474969461372502e-06,1.6281985854427127e-09,1.6837619797274186e-12
718,1.4476055163652152e-06,1.582888559316947e-09,1.6212869639047208e-12
719,1.4207492330458287e-06,1.5388394349545612e-09,1.5611300474624822e-12
720,1.3943911931674746e-06,1.496016123581771e-09,1.5032052186619787e-12
721,1.36852215321259e-06,1.4543845128863067e-09,1.4474296571803777e-12
722,1.3431330411513027e-06,1.4139114398441324e-09,1.393723615695093e-12
723,1.3182149532599547e-06,1.3745646643023532e-09,1.342010305861886e-12
724,1.2937591509986504e-06,1.336312843297264e-09,1.2922157885236824e-12
725,1.2697570579467316e-06,1.2991255060870847e-09,1.2442688679931296e-12
726,1.2462002567951085e-06,1.2629730298794915e-09,1.1981009902577354e-12
727,1.2230804863943871e-06,1.227826616234612e-09,1.1536461449620486e-12
728,1.200389638857762e-06,1.1936582681246828e-09,1.1108407710267338e-12
729,1.1781197567176564e-06,1.1604407676321003e-09,1.0696236657695953e-12
730,1.156263030135113e-06,1.1281476542680952e-09,1.0299358973986135e-12
731,1.1348117941609565e-06,1.0967532038947644e-09,9.917207207518768e-13
732,1.1137585260477677e-06,1.0662324082336643e-09,9.549234961639329e-13
733,1.0930958426117267e-06,1.0365609549446484e-09,9.194916113425607e-13
734,1.0728164976433992e-06,1.0077152082590742e-09,8.85374406144256e-13
735,1.052913379366559e-06,9.796721901519585e-10,8.52523100140881e-13
736,1.033379507944155e-06,9.524095620380776e-10,8.208907228739117e-13
737,1.014208033030547e-06,9.259056069774358e-10,7.904320466965605e-13
738,9.953922313691542e-07,9.001392123759237e-10,7.611035221077529e-13
739,9.76925504434672e-07,8.750898531673911e-10,7.328632154855006e-13
740,9.588013761190316e-07,8.507375754637313e-10,7.056707491306409e-13
741,9.410134904602885e-07,8.270629806599585e-10,6.79487243535219e-13
742,9.235556094136468e-07,8.040472099816127e-10,6.54275261792968e-13
743,9.064216106638354e-07,7.816719294621851e-10,6.299987560724073e-13
744,8.896054854780696e-07,7.599193153385958e-10,6.066230160760242e-13
745,8.731013365988444e-07,7.387720398530912e-10,5.841146194118487e-13
746,8.569033761758213e-07,7.182132574502511e-10,5.624413838064622e-13
747,8.410059237360845e-07,6.982265913581086e-10,5.41572321091115e-13
748,8.254034041920512e-07,6.787961205426963e-10,5.214775928951618e-13
749,8.100903458863414e-07,6.599063670256244e-10,5.021284679834674e-13
750,7.950613786729182e-07,6.4154228355459e-10,4.834972811767833e-13
751,7.803112320338286e-07,6.236892416169948e-10,4.655573937963586e-13
752,7.65834733230882e-07,6.063330197871243e-10,4.482831555762331e-13
753,7.51626805491619e-07,5.894597923976047e-10,4.3164986798875125e-13
754,7.376824662289358e-07,5.730561185261145e-10,4.1563374893086145e-13
755,7.239968252937366e-07,5.571089312885772e-10,4.002118987207109e-13
756,7.105650832600046e-07,5.416055274303069e-10,3.853622673559167e-13
757,6.973825297416884e-07,5.265335572068137e-10,3.7106362298669945e-13
758,6.844445417408137e-07,5.118810145462105e-10,3.5729552155880374e-13
759,6.717465820262408e-07,4.976362274853828e-10,3.440382775828001e-13
760,6.592841975425009e-07,4.837878488723039e-10,3.3127293598797527e-13
761,6.470530178481506e-07,4.703248473270889e-10,3.1898124502056743e-13
762,6.350487535830994e-07,4.572364984545877e-10,3.071456301475971e-13
763,6.232671949643713e-07,4.445123763015164e-10,2.9574916892898116e-13
764,6.117042103097732e-07,4.3214234505132244e-10,2.8477556682200223e-13
765,6.00355744588953e-07,4.201165509501679e-10,2.7420913388353996e-13
766,5.892178180013382e-07,4.084254144575988e-10,2.6403476233675175e-13
767,5.782865245804568e-07,3.9705962261564807e-10,2.542379049701297e-13
768,5.675580308241523e-07,3.860101216302938e-10,2.44804554338047e-13
769,5.570285743502099e-07,3.7526810965936273e-10,2.3572122273305744e-13
770,5.466944625769241e-07,3.648250298011345e-10,2.2697492290130953e-13
771,5.365520714281456e-07,3.546725632780611e-10,2.185531494735056e-13
772,5.265978440623509e-07,3.4480262281017173e-10,2.1044386108485338e-13
773,5.168282896252921e-07,3.3520734617288517e-10,2.0263546315844681e-13
774,5.072399820257865e-07,3.25879089934097e-10,1.951167913274597e-13
775,4.978295587342188e-07,3.168104233655532e-10,1.878770954724491e-13
776,4.885937196033336e-07,3.0799412252365985e-10,1.8090602435094538e-13
777,4.795292257109039e-07,2.9942316449501443e-10,1.7419361079735254e-13
778,4.706328982238725e-07,2.9109072180207374e-10,1.677302574719976e-13
779,4.619016172835645e-07,2.8299015696450276e-10,1.6150672313895332e-13
